route_id,stop_order,stop_id,time_from_start_min
R004_down,3,S018,11
R004_down,4,S053,15
R004_down,5,S052,23
R004_down,6,S012,27
R004_down,7,S013,33
R004_down,8,S023,39
R004_down,9,S043,46
R004_down,10,S003,52
R004_down,11,S016,58
R004_down,12,S049,63
R004_down,13,S007,69
R004_down,14,S034,77
R004_down,15,S014,84
R005_up,1,S039,0
R005_up,2,S007,8
R005_up,3,S037,14
R005_up,4,S027,22
R005_up,5,S001,28
R005_up,6,S046,32
R005_up,7,S028,36
R005_up,8,S012,44
R005_up,9,S054,48
R005_up,10,S013,54
R005_up,11,S026,58
R005_up,12,S033,66
R005_down,1,S033,0
R005_down,2,S026,7
R005_down,3,S013,15
R005_down,4,S054,19
R005_down,5,S012,23
R005_down,6,S028,28
R005_down,7,S046,33
R005_down,8,S001,41
R005_down,9,S027,46
R005_down,10,S037,50
R005_down,11,S007,56
R005_down,12,S039,62
R006_up,1,S055,0
R006_up,2,S033,5
R006_up,3,S056,11
R006_up,4,S036,15
R006_up,5,S020,22
R006_up,6,S029,30
R006_up,7,S007,38
R006_up,8,S009,43
R006_up,9,S042,48
R006_up,10,S037,54
R006_up,11,S016,60
R006_up,12,S021,67
R006_up,13,S026,72
R006_up,14,S023,78
R006_up,15,S015,85
R006_down,1,S015,0
R006_down,2,S023,4
R006_down,3,S026,12
R006_down,4,S021,20
R006_down,5,S016,24
R006_down,6,S037,32
R006_down,7,S042,38
R006_down,8,S009,42
R006_down,9,S007,46
R006_down,10,S029,50
R006_down,11,S020,55
R006_down,12,S036,62
R006_down,13,S056,67
R006_down,14,S033,74
R006_down,15,S055,81
R007_up,1,S015,0
R007_up,2,S059,5
R007_up,3,S041,11
R007_up,4,S030,19
R007_up,5,S020,24
R007_up,6,S008,30
R007_up,7,S051,37
R007_up,8,S012,44
R007_up,9,S007,49
R007_up,10,S002,57
R007_up,11,S004,62
R007_up,12,S044,67
R007_up,13,S055,72
R007_up,14,S052,76
R007_down,1,S052,0
R007_down,2,S055,4
R007_down,3,S044,8
R007_down,4,S004,12
R007_down,5,S002,20
R007_down,6,S007,27
R007_down,7,S012,31
R007_down,8,S051,39
R007_down,9,S008,43
R007_down,10,S020,51
R007_down,11,S030,55
R007_down,12,S041,60
R007_down,13,S059,68
R007_down,14,S015,74
R008_up,1,S037,0
R008_up,2,S015,4
R008_up,3,S023,9
R008_up,4,S011,14
R008_up,5,S059,21
R008_up,6,S013,29
R008_up,7,S049,36
R008_up,8,S056,42
R008_up,9,S008,50
R008_up,10,S002,57
R008_up,11,S001,62
R008_up,12,S057,68
R008_up,13,S018,74
R008_up,14,S030,80
R008_up,15,S022,85
R008_up,16,S024,91
R008_up,17,S041,97
R008_up,18,S055,105
R008_up,19,S044,111
R008_down,1,S044,0
R008_down,2,S055,7
R008_down,3,S041,15
R008_down,4,S024,22
R008_down,5,S022,28
R008_down,6,S030,34
R008_down,7,S018,38
R008_down,8,S057,42
R008_down,9,S001,47
R008_down,10,S002,53
R008_down,11,S008,59
R008_down,12,S056,66
R008_down,13,S049,74
R008_down,14,S013,82
R008_down,15,S059,88
R008_down,16,S011,94
R008_down,17,S023,98
R008_down,18,S015,103
R008_down,19,S037,110
